Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10
1631083359.2860796,23.186328125,1004.5215792606352,46.43924403070004,0,2,3
1631083360.4147208,23.2015625,1004.5012554707471,46.47615170972486,0,2,3
1631083361.5424588,23.19140625,1004.5377060130459,46.377805069133764,0,2,3
1631083362.6695783,23.206640625,1004.5005611786804,46.45785097386846,0,1,2
1631083363.7967894,23.196484375,1004.4883006359056,46.4577744693337,0,1,2
1631083364.9241729,23.2015625,1004.5324514056537,46.285494042567265,0,1,2
1631083366.0515945,23.196484375,1004.4928606882348,46.24861975988261,0,1,2
1631083367.1789079,23.196484375,1004.4974207071127,46.303912448931335,0,1,2
1631083368.3089392,23.2015625,1004.4806000500322,46.26088730824885,0,1,2
1631083369.4367967,23.19140625,1004.5100129338946,46.32244053717234,0,1,2
